email_text,label
"Hi David, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Dear customer, your Netflix subscription will be auto-renewed for $199. To cancel, visit http://tinyurl.com/account-confirm.",1
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Dear HSBC customer, we need to verify your billing information. Please log in at http://claim-your-prize-here.cf and confirm your details.",1
"Hi team, just a reminder that the project meeting is scheduled for tomorrow at 10 AM in conference room B. Please bring your reports.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://irs-refund-claim.ml.",1
Your Microsoft password will expire today. Reset it now at http://secure-paypal-login.cf to avoid losing your account.,1
"Hi team, just a reminder that the project meeting is scheduled for tomorrow at 10 AM in conference room B. Please bring your reports.",0
Alert: Your computer has been infected with 3 viruses. Click http://irs-refund-claim.ml to download the security tool and remove them.,1
You have a new message from Instagram. Read it at http://paypal-verify-account.tk and log in with your email and password.,1
You have received a secure document. Open it at http://amaz0n-prize-claim.cf and log in with your email credentials to view.,1
"Dear Michael, thank you for your purchase from eBay. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://login-secure-update.ga.",1
"Hello Jessica, your appointment with Dr. Smith is confirmed for March 15 at 2 PM. Please arrive 10 minutes early.",0
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Dear David, your library book is due in 3 days. You can renew it online or visit the library desk.",0
"Dear customer, your Google subscription will be auto-renewed for $199. To cancel, visit http://netflx-billing-update.tk.",1
Your Amazon password will expire today. Reset it now at http://bit.ly/verify-now to avoid losing your account.,1
"Dear customer, your account at Wells Fargo has been suspended. Verify your identity immediately at http://paypal-verify-account.tk or your account will be closed permanently.",1
"You have won a lottery of $1,000,000! To claim your prize, click here http://amaz0n-secure-login.gq and enter your bank details within 24 hours.",1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://netflx-billing-update.tk by entering your wallet passphrase.",1
"Hi Michael, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
"Dear user, your package could not be delivered. Click http://bank0famerica-secure.ml to update your shipping address and pay a small fee.",1
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
"Hi Emily, the photos from the trip are uploaded to the shared album. Feel free to add yours as well.",0
